,Year,Total_Amount
0,2011,25644.0
1,2012,1722596279.039999
2,2013,1330098715.62
3,2014,191402588.63999993
4,2015,2065318463.9899979
5,2016,1099183172.0600007
6,2017,516954083.4200003
7,2018,21144844.11
