,Year,Total_Amount
0,2011,744634.0
1,2012,916781.9699999999
2,2013,2439599.0599999973
3,2014,4656152.140000001
4,2015,13687356.050000003
5,2016,514288785.9400005
6,2017,33303329.81999997
7,2018,269722.5
